Mod:Item:MetaData, Localized Name
minecraft:fence_gate, Furtka dębowa
minecraft:brick_stairs, Ceglane schody
minecraft:stone_brick_stairs, Schody z kamiennych cegieł
minecraft:mycelium, Grzybnia
minecraft:waterlily, Lilia wodna
minecraft:nether_brick, Netherowa cegła
minecraft:nether_brick_fence, Płot z netherowej cegły
minecraft:nether_brick_stairs, Schody z netherowej cegły
minecraft:enchanting_table, Stół do zaklęć
minecraft:end_portal_frame, Portal Endu
minecraft:end_stone, Kamień Endu
minecraft:dragon_egg, Smocze jajo
minecraft:redstone_lamp, Lampa
minecraft:wooden_slab:0, Dębowa płyta
minecraft:wooden_slab:1, Świerkowa płyta
minecraft:wooden_slab:2, Brzozowa płyta
minecraft:wooden_slab:3, Tropikalna płyta
minecraft:wooden_slab:4, Akacjowa płyta
minecraft:wooden_slab:5, Ciemna dębowa płyta
minecraft:sandstone_stairs, Schody z piaskowca
minecraft:emerald_ore, Ruda szmaragdu
minecraft:ender_chest, Skrzynia Endu
minecraft:tripwire_hook, Zaczep na linkę
minecraft:emerald_block, Blok szmaragdu
minecraft:spruce_stairs, Świerkowe schody
minecraft:birch_stairs, Brzozowe schody
minecraft:jungle_stairs, Schody z tropikalnego drewna
minecraft:command_block, Blok poleceń
minecraft:beacon, Magiczna latarnia
minecraft:cobblestone_wall:0, Brukowy murek
minecraft:cobblestone_wall:1, Omszony brukowy murek
minecraft:wooden_button, Przycisk
minecraft:anvil:0, Kowadło
minecraft:anvil:1, Lekko uszkodzone kowadło
minecraft:anvil:2, Mocno uszkodzone kowadło
minecraft:trapped_chest, Skrzynia-pułapka
minecraft:light_weighted_pressure_plate, Wagowa płyta naciskowa (lekka)
minecraft:heavy_weighted_pressure_plate, Wagowa płyta naciskowa (ciężka)
minecraft:daylight_detector, Czujnik światła dziennego
minecraft:redstone_block, Blok redstone
minecraft:quartz_ore, Ruda kwarcu
minecraft:hopper, Lej
minecraft:quartz_block:0, Blok kwarcu
minecraft:quartz_block:1, Rzeźbiony blok kwarcu
minecraft:quartz_block:2, Kwarcowa kolumna
minecraft:quartz_stairs, Kwarcowe schody
minecraft:activator_rail, Tory aktywacyjne
minecraft:dropper, Podajnik
minecraft:stained_hardened_clay:0, Biała terakota
minecraft:stained_hardened_clay:1, Pomarańczowa terakota
minecraft:stained_hardened_clay:2, Karmazynowa terakota
minecraft:stained_hardened_clay:3, Jasnoniebieska terakota
minecraft:stained_hardened_clay:4, Żółta terakota
minecraft:stained_hardened_clay:5, Jasnozielona terakota
minecraft:stained_hardened_clay:6, Różowa terakota
minecraft:stained_hardened_clay:7, Szara terakota
minecraft:stained_hardened_clay:8, Jasnoszara terakota
minecraft:stained_hardened_clay:9, Błękitna terakota
minecraft:stained_hardened_clay:10, Fioletowa terakota
minecraft:stained_hardened_clay:11, Niebieska terakota
minecraft:stained_hardened_clay:12, Brązowa terakota
minecraft:stained_hardened_clay:13, Zielona terakota
minecraft:stained_hardened_clay:14, Czerwona terakota
minecraft:stained_hardened_clay:15, Czarna terakota
minecraft:stained_glass_pane:0, Biała szyba
minecraft:stained_glass_pane:1, Pomarańczowa szyba
minecraft:stained_glass_pane:2, Karmazynowa szyba
minecraft:stained_glass_pane:3, Jasnoniebieska szyba
minecraft:stained_glass_pane:4, Żółta szyba
minecraft:stained_glass_pane:5, Jasnozielona szyba
minecraft:stained_glass_pane:6, Różowa szyba
minecraft:stained_glass_pane:7, Szara szyba
minecraft:stained_glass_pane:8, Jasnoszara szyba
minecraft:stained_glass_pane:9, Błękitna szyba
minecraft:stained_glass_pane:10, Fioletowa szyba
minecraft:stained_glass_pane:11, Niebieska szyba
minecraft:stained_glass_pane:12, Brązowa szyba
minecraft:stained_glass_pane:13, Zielona szyba
minecraft:stained_glass_pane:14, Czerwona szyba
minecraft:stained_glass_pane:15, Czarna szyba
minecraft:leaves2:0, Akacjowe liście
minecraft:leaves2:1, Ciemnodębowe liście
minecraft:log2:0, Drewno akacji
minecraft:log2:1, Drewno ciemnego dębu
minecraft:acacia_stairs, Akacjowe schody
minecraft:dark_oak_stairs, Ciemne dębowe schody
minecraft:slime, Blok szlamu
minecraft:barrier, Bariera
minecraft:iron_trapdoor, Klapa żelazna
minecraft:prismarine:0, Pryzmaryn
minecraft:prismarine:1, Pryzmarynowe cegły
minecraft:prismarine:2, Ciemny pryzmaryn
minecraft:sea_lantern, Latarnia morska
minecraft:hay_block, Snop siana
minecraft:carpet:0, Biały dywan
minecraft:carpet:1, Pomarańczowy dywan
minecraft:carpet:2, Karmazynowy dywan
minecraft:carpet:3, Jasnoniebieski dywan
minecraft:carpet:4, Żółty dywan
minecraft:carpet:5, Jasnozielony dywan
minecraft:carpet:6, Różowy dywan
minecraft:carpet:7, Szary dywan
minecraft:carpet:8, Jasnoszary dywan
minecraft:carpet:9, Błękitny dywan
minecraft:carpet:10, Fioletowy dywan
minecraft:carpet:11, Niebieski dywan
minecraft:carpet:12, Brązowy dywan
minecraft:carpet:13, Zielony dywan
minecraft:carpet:14, Czerwony dywan
minecraft:carpet:15, Czarny dywan
minecraft:hardened_clay, Terakota
minecraft:coal_block, Blok węgla
minecraft:packed_ice, Zbity lód
minecraft:double_plant:0, Słonecznik
minecraft:double_plant:1, Bez
minecraft:double_plant:2, Podwójnie wysoka trawa
minecraft:double_plant:3, Duża paproć
minecraft:double_plant:4, Krzew róży
minecraft:double_plant:5, Piwonia
minecraft:red_sandstone:0, Czerwony piaskowiec
minecraft:red_sandstone:1, Rzeźbiony czerwony piaskowiec
minecraft:red_sandstone:2, Gładki czerwony piaskowiec
minecraft:red_sandstone_stairs, Schody z czerwonego piaskowca
minecraft:stone_slab2:0, Płyta z czerwonego piaskowca
minecraft:spruce_fence_gate, Furtka świerkowa
minecraft:birch_fence_gate, Furtka brzozowa
minecraft:jungle_fence_gate, Furtka tropikalna
minecraft:dark_oak_fence_gate, Furtka ciemnodębowa
minecraft:acacia_fence_gate, Furtka akacjowa
minecraft:spruce_fence, Płot świerkowy
minecraft:birch_fence, Płot brzozowy
minecraft:jungle_fence, Płot tropikalny
minecraft:dark_oak_fence, Płot ciemnodębowy
minecraft:acacia_fence, Płot akacjowy
minecraft:end_rod, Słupek Endu
minecraft:chorus_plant, Roślina refrenusu
minecraft:chorus_flower, Kwiat refrenusu
minecraft:purpur_block, Blok purpuru
minecraft:purpur_pillar, Filar z purpuru
minecraft:purpur_stairs, Schody z purpuru
minecraft:purpur_slab:0, Płyta z purpuru
minecraft:end_bricks, Cegły z kamienia Endu
minecraft:grass_path, Ścieżka
minecraft:repeating_command_block, Powtarzający blok poleceń
minecraft:chain_command_block, Łańcuchowy blok poleceń
minecraft:magma, Blok magmy
minecraft:nether_wart_block, Blok netherowej brodawki
minecraft:red_nether_brick, Czerwona netherowa cegła
minecraft:bone_block, Blok kości
minecraft:structure_void, Pustka strukturalna
minecraft:observer, Detektor
minecraft:white_shulker_box, Biała shulkerowa skrzynia
minecraft:orange_shulker_box, Pomarańczowa shulkerowa skrzynia
minecraft:magenta_shulker_box, Karmazynowa shulkerowa skrzynia
minecraft:light_blue_shulker_box, Jasnoniebieska shulkerowa skrzynia
minecraft:yellow_shulker_box, Żółta shulkerowa skrzynia
minecraft:lime_shulker_box, Jasnozielona shulkerowa skrzynia
minecraft:pink_shulker_box, Różowa shulkerowa skrzynia
minecraft:gray_shulker_box, Szara shulkerowa skrzynia
minecraft:silver_shulker_box, Jasnoszara shulkerowa skrzynia
minecraft:cyan_shulker_box, Błękitna shulkerowa skrzynia
minecraft:purple_shulker_box, Fioletowa shulkerowa skrzynia
minecraft:blue_shulker_box, Niebieska shulkerowa skrzynia
minecraft:brown_shulker_box, Brązowa shulkerowa skrzynia
minecraft:green_shulker_box, Zielona shulkerowa skrzynia
minecraft:red_shulker_box, Czerwona shulkerowa skrzynia
minecraft:black_shulker_box, Czarna shulkerowa skrzynia
minecraft:white_glazed_terracotta, Biała glazurowana terakota
minecraft:orange_glazed_terracotta, Pomarańczowa glazurowana terakota
minecraft:magenta_glazed_terracotta, Karmazynowa glazurowana terakota
minecraft:light_blue_glazed_terracotta, Jasnoniebieska glazurowana terakota
minecraft:yellow_glazed_terracotta, Żółta glazurowana terakota
minecraft:lime_glazed_terracotta, Jasnozielona glazurowana terakota
minecraft:pink_glazed_terracotta, Różowa glazurowana terakota
minecraft:gray_glazed_terracotta, Szara glazurowana terakota
minecraft:silver_glazed_terracotta, Jasnoszara glazurowana terakota
minecraft:cyan_glazed_terracotta, Błękitna glazurowana terakota
minecraft:purple_glazed_terracotta, Fioletowa glazurowana terakota
minecraft:blue_glazed_terracotta, Niebieska glazurowana terakota
minecraft:brown_glazed_terracotta, Brązowa glazurowana terakota
minecraft:green_glazed_terracotta, Zielona glazurowana terakota
minecraft:red_glazed_terracotta, Czerwona glazurowana terakota
minecraft:black_glazed_terracotta, Czarna glazurowana terakota
minecraft:concrete:0, Biały beton
minecraft:concrete:1, Pomarańczowy beton
minecraft:concrete:2, Karmazynowy beton
minecraft:concrete:3, Jasnoniebieski beton
minecraft:concrete:4, Żółty beton
minecraft:concrete:5, Jasnozielony beton
minecraft:concrete:6, Różowy beton
minecraft:concrete:7, Szary beton
minecraft:concrete:8, Jasnoszary beton
minecraft:concrete:9, Błękitny beton
minecraft:concrete:10, Fioletowy beton
minecraft:concrete:11, Niebieski beton
minecraft:concrete:12, Brązowy beton
minecraft:concrete:13, Zielony beton
minecraft:concrete:14, Czerwony beton
minecraft:concrete:15, Czarny beton
minecraft:concrete_powder:0, Biały cement
minecraft:concrete_powder:1, Pomarańczowy cement
minecraft:concrete_powder:2, Karmazynowy cement
minecraft:concrete_powder:3, Jasnoniebieski cement
minecraft:concrete_powder:4, Żółty cement
minecraft:concrete_powder:5, Jasnozielony cement
minecraft:concrete_powder:6, Różowy cement
minecraft:concrete_powder:7, Szary cement
minecraft:concrete_powder:8, Jasnoszary cement
minecraft:concrete_powder:9, Błękitny cement
minecraft:concrete_powder:10, Fioletowy cement
minecraft:concrete_powder:11, Niebieski cement
minecraft:concrete_powder:12, Brązowy cement
minecraft:concrete_powder:13, Zielony cement
minecraft:concrete_powder:14, Czerwony cement
minecraft:concrete_powder:15, Czarny cement
minecraft:structure_block, Blok struktur
minecraft:iron_shovel, Żelazna łopata
minecraft:iron_pickaxe, Żelazny kilof
minecraft:iron_axe, Żelazna siekiera
minecraft:flint_and_steel, Krzesiwo
minecraft:apple, Jabłko
minecraft:bow, Łuk
minecraft:arrow, Strzała
minecraft:coal:0, Węgiel
minecraft:coal:1, Węgiel drzewny
minecraft:diamond, Diament
minecraft:iron_ingot, Sztabka żelaza
minecraft:gold_ingot, Sztabka złota
minecraft:iron_sword, Żelazny miecz
minecraft:wooden_sword, Drewniany miecz
minecraft:wooden_shovel, Drewniana łopata
minecraft:wooden_pickaxe, Drewniany kilof
minecraft:wooden_axe, Drewniana siekiera
minecraft:stone_sword, Kamienny miecz
minecraft:stone_shovel, Kamienna łopata
minecraft:stone_pickaxe, Kamienny kilof
minecraft:stone_axe, Kamienna siekiera
minecraft:diamond_sword, Diamentowy miecz
minecraft:diamond_shovel, Diamentowa łopata
minecraft:diamond_pickaxe, Diamentowy kilof
minecraft:diamond_axe, Diamentowa siekiera
minecraft:stick, Patyk
minecraft:bowl, Miska
minecraft:mushroom_stew, Zupa grzybowa
minecraft:golden_sword, Złoty miecz
minecraft:golden_shovel, Złota łopata
minecraft:golden_pickaxe, Złoty kilof
minecraft:golden_axe, Złota siekiera
minecraft:string, Nić
minecraft:feather, Pióro
minecraft:gunpowder, Proch
minecraft:wooden_hoe, Drewniana motyka
minecraft:stone_hoe, Kamienna motyka
minecraft:iron_hoe, Żelazna motyka
minecraft:diamond_hoe, Diamentowa motyka
minecraft:golden_hoe, Złota motyka
minecraft:wheat_seeds, Nasiona pszenicy
minecraft:wheat, Pszenica
minecraft:bread, Chleb
minecraft:leather_helmet, Skórzana czapka
minecraft:leather_chestplate, Skórzana tunika
minecraft:leather_leggings, Skórzane spodnie
minecraft:leather_boots, Skórzane buty
minecraft:chainmail_helmet, Hełm kolczy
minecraft:chainmail_chestplate, Napierśnik kolczy
minecraft:chainmail_leggings, Nogawice kolcze
minecraft:chainmail_boots, Buty kolcze
minecraft:iron_helmet, Żelazny hełm
minecraft:iron_chestplate, Żelazny napierśnik
minecraft:iron_leggings, Żelazne nogawice
minecraft:iron_boots, Żelazne buty
minecraft:diamond_helmet, Diamentowy hełm
minecraft:diamond_chestplate, Diamentowy napierśnik
minecraft:diamond_leggings, Diamentowe nogawice
minecraft:diamond_boots, Diamentowe buty
minecraft:golden_helmet, Złoty hełm
minecraft:golden_chestplate, Złoty napierśnik
minecraft:golden_leggings, Złote nogawice
minecraft:golden_boots, Złote buty
minecraft:flint, Krzemień
minecraft:porkchop, Surowy schab
minecraft:cooked_porkchop, Pieczony schab
minecraft:painting, Obraz
minecraft:golden_apple:0, Złote jabłko
minecraft:golden_apple:1, Złote jabłko
minecraft:sign, Tabliczka
minecraft:wooden_door, Drzwi dębowe
minecraft:bucket, Wiadro
minecraft:water_bucket, Wiadro wody
minecraft:lava_bucket, Wiadro lawy
minecraft:minecart, Wagonik
minecraft:saddle, Siodło
minecraft:iron_door, Drzwi żelazne
minecraft:redstone, Redstone
minecraft:snowball, Śnieżka
minecraft:boat, Łódka dębowa
minecraft:leather, Skóra
minecraft:milk_bucket, Mleko
minecraft:brick, Cegła
minecraft:clay_ball, Glina
minecraft:reeds, Trzcina cukrowa
minecraft:paper, Papier
minecraft:book, Książka
minecraft:slime_ball, Kula szlamu
minecraft:chest_minecart, Wagonik ze skrzynią
minecraft:furnace_minecart, Napędzany wagonik
minecraft:egg, Jajko
minecraft:compass, Kompas
minecraft:fishing_rod, Wędka
minecraft:clock, Zegar
minecraft:glowstone_dust, Jasnopył
minecraft:fish:0, Surowy dorsz
minecraft:fish:1, Surowy łosoś
minecraft:fish:2, Błazenek
minecraft:fish:3, Rozdymka
minecraft:cooked_fish:0, Pieczony dorsz
minecraft:cooked_fish:1, Pieczony łosoś
minecraft:dye:0, Torbiel z atramentem
minecraft:dye:1, Różana czerwień
minecraft:dye:2, Kaktusowa zieleń
minecraft:dye:3, Ziarna kakaowe
minecraft:dye:4, Lazuryt
minecraft:dye:5, Fioletowy barwnik
minecraft:dye:6, Błękitny barwnik
minecraft:dye:7, Jasnoszary barwnik
minecraft:dye:8, Szary barwnik
minecraft:dye:9, Różowy barwnik
minecraft:dye:10, Jasnozielony barwnik
minecraft:dye:11, Mleczowa żółć
minecraft:dye:12, Jasnoniebieski barwnik
minecraft:dye:13, Karmazynowy barwnik
minecraft:dye:14, Pomarańczowy barwnik
minecraft:dye:15, Mączka kostna
minecraft:bone, Kość
minecraft:sugar, Cukier
minecraft:cake, Ciasto
minecraft:bed:0, Białe łóżko
minecraft:bed:1, Pomarańczowe łóżko
minecraft:bed:2, Karmazynowe łóżko
minecraft:bed:3, Jasnoniebieskie łóżko
minecraft:bed:4, Żółte łóżko
minecraft:bed:5, Jasnozielone łóżko
minecraft:bed:6, Różowe łóżko
minecraft:bed:7, Szare łóżko
minecraft:bed:8, Jasnoszare łóżko
minecraft:bed:9, Błękitne łóżko
minecraft:bed:10, Fioletowe łóżko
minecraft:bed:11, Niebieskie łóżko
minecraft:bed:12, Brązowe łóżko
minecraft:bed:13, Zielone łóżko
minecraft:bed:14, Czerwone łóżko
minecraft:bed:15, Czarne łóżko
minecraft:repeater, Przekaźnik
minecraft:cookie, Ciastko
minecraft:filled_map:0, Mapa
minecraft:shears, Nożyce
minecraft:melon, Arbuz
minecraft:pumpkin_seeds, Nasiona dyni
minecraft:melon_seeds, Nasiona arbuza
minecraft:beef, Surowa wołowina
minecraft:cooked_beef, Befsztyk
minecraft:chicken, Surowy kurczak
minecraft:cooked_chicken, Pieczony kurczak
minecraft:rotten_flesh, Zgniłe mięso
minecraft:ender_pearl, Perła Endu
minecraft:blaze_rod, Płomienna różdżka
minecraft:ghast_tear, Łza Ghasta
minecraft:gold_nugget, Bryłka złota
minecraft:nether_wart, Netherowa brodawka
minecraft:potion, Mikstura
minecraft:glass_bottle, Szklana butelka
minecraft:spider_eye, Oko pająka
minecraft:fermented_spider_eye, Sfermentowane oko pająka
minecraft:blaze_powder, Płomienny proszek
minecraft:magma_cream, Magmowy krem
minecraft:brewing_stand, Statyw alchemiczny
minecraft:cauldron, Kocioł
minecraft:ender_eye, Oko Endera
minecraft:speckled_melon, Lśniący arbuz
minecraft:spawn_egg, Przywołaj:
minecraft:experience_bottle, Zaklęta butelka
minecraft:fire_charge, Ognista kula
minecraft:writable_book, Książka z piórem
minecraft:written_book, Zapisana książka
minecraft:emerald, Szmaragd
minecraft:item_frame, Ramka na przedmiot
minecraft:flower_pot, Doniczka
minecraft:carrot, Marchewka
minecraft:potato, Ziemniak
minecraft:baked_potato, Pieczony ziemniak
minecraft:poisonous_potato, Trujący ziemniak
minecraft:map, Pusta mapa
minecraft:golden_carrot, Złota marchewka
minecraft:skull:0, Czaszka szkieleta
minecraft:skull:1, Czaszka witherowego szkieleta
minecraft:skull:2, Głowa zombie
minecraft:skull:3, Głowa
minecraft:skull:4, Głowa creepera
minecraft:skull:5, Głowa smoka
minecraft:carrot_on_a_stick, Marchewka na patyku
minecraft:nether_star, Netherowa gwiazda
minecraft:pumpkin_pie, Placek dyniowy
minecraft:fireworks, Fajerwerk
minecraft:firework_charge, Gwiazdka pirotechniczna
minecraft:enchanted_book, Zaklęta książka
minecraft:comparator, Komparator
minecraft:netherbrick, Netherowa cegła
minecraft:quartz, Kwarc
minecraft:tnt_minecart, Wagonik z TNT
minecraft:hopper_minecart, Wagonik z lejem
minecraft:prismarine_shard, Odłamek pryzmarynu
minecraft:prismarine_crystals, Kryształy pryzmarynu
minecraft:rabbit, Surowy królik
minecraft:cooked_rabbit, Pieczony królik
minecraft:rabbit_stew, Potrawka z królika
minecraft:rabbit_foot, Królicza łapka
minecraft:rabbit_hide, Królicza skóra
minecraft:armor_stand, Stojak na zbroję
minecraft:iron_horse_armor, Żelazna zbroja końska
minecraft:golden_horse_armor, Złota zbroja końska
minecraft:diamond_horse_armor, Diamentowa zbroja końska
minecraft:lead, Smycz
minecraft:name_tag, Znacznik
minecraft:command_block_minecart, Wagonik z blokiem poleceń
minecraft:mutton, Surowa baranina
minecraft:cooked_mutton, Pieczona baranina
minecraft:banner:15, Biały sztandar
minecraft:banner:14, Pomarańczowy sztandar
minecraft:banner:13, Karmazynowy sztandar
minecraft:banner:12, Jasnoniebieski sztandar
minecraft:banner:11, Żółty sztandar
minecraft:banner:10, Jasnozielony sztandar
minecraft:banner:9, Różowy sztandar
minecraft:banner:8, Szary sztandar
minecraft:banner:7, Jasnoszary sztandar
minecraft:banner:6, Błękitny sztandar
minecraft:banner:5, Fioletowy sztandar
minecraft:banner:4, Niebieski sztandar
minecraft:banner:3, Brązowy sztandar
minecraft:banner:2, Zielony sztandar
minecraft:banner:1, Czerwony sztandar
minecraft:banner:0, Czarny sztandar
minecraft:end_crystal, Kryształ Endu
minecraft:spruce_door, Drzwi świerkowe
minecraft:birch_door, Drzwi brzozowe
minecraft:jungle_door, Drzwi tropikalne
minecraft:acacia_door, Drzwi akacjowe
minecraft:dark_oak_door, Drzwi ciemnodębowe
minecraft:chorus_fruit, Owoc refrenusu
minecraft:chorus_fruit_popped, Prażony owoc refrenusu
minecraft:beetroot, Burak
minecraft:beetroot_seeds, Nasiona buraka
minecraft:beetroot_soup, Barszcz czerwony
minecraft:dragon_breath, Oddech smoka
minecraft:splash_potion, Mikstura miotana
minecraft:spectral_arrow, Widmowa strzała
minecraft:tipped_arrow, Strzała z miksturą
minecraft:lingering_potion, Trwała mikstura
minecraft:shield, Tarcza
minecraft:elytra, Elytry
minecraft:spruce_boat, Łódka świerkowa
minecraft:birch_boat, Łódka brzozowa
minecraft:jungle_boat, Łódka tropikalna
minecraft:acacia_boat, Łódka akacjowa
minecraft:dark_oak_boat, Łódka ciemnodębowa
minecraft:totem_of_undying, Totem nieśmiertelności
minecraft:shulker_shell, Skorupa shulkera
minecraft:iron_nugget, Bryłka żelaza
minecraft:knowledge_book, Księga wiedzy
minecraft:record_13, Płyta muzyczna
minecraft:record_cat, Płyta muzyczna
minecraft:record_blocks, Płyta muzyczna
minecraft:record_chirp, Płyta muzyczna
minecraft:record_far, Płyta muzyczna
minecraft:record_mall, Płyta muzyczna
minecraft:record_mellohi, Płyta muzyczna
minecraft:record_stal, Płyta muzyczna
minecraft:record_strad, Płyta muzyczna
minecraft:record_ward, Płyta muzyczna
minecraft:record_11, Płyta muzyczna
minecraft:record_wait, Płyta muzyczna
aquaculture:fishing_rod, Wędka
aquaculture:iron_fishing_rod, Iron Fishing Rod
aquaculture:gold_fishing_rod, Golden Fishing Rod
aquaculture:diamond_fishing_rod, Diamond Fishing Rod
aquaculture:admin_fishing_rod, Admin Fishing Rod
aquaculture:loot:0, Driftwood
aquaculture:loot:1, Neptunium Ingot
aquaculture:loot:2, Tin Can
aquaculture:loot:3, Message In A Bottle
aquaculture:loot:4, Box
aquaculture:loot:5, Lockbox
aquaculture:loot:6, Treasure Chest
aquaculture:loot:7, Neptune's Bounty
aquaculture:food:0, Seaweed
aquaculture:food:1, Algae
